"يعتبر المعدل الدراسي مثال على البيانات ,",S
",",
"الكمية المتصلة,",1
"الكمية المنفصلة,",
"الوصفية,",
"جميع ما يلي بيانات وصفية ما عدا ,",S
",",
"الحالة الأقتصادية,",
"درجة الحرارة,",1
"الجنسية,",
"مجموعة جزئية من مفردات المجتمع محل الدراسة يتم اختيارها بحيث تكون ممثلة للمجتمع تمثيل صحيح,",S
",",
"البيانات,",
"المتغير,",
"العينة,",1
"مجموعة القيم التي يتم جمعها من مفردات المجتمع أو العينة لخاصية معينة هي,",S
",",
"البيانات,",1
"المجتمع,",
"المتغير,",
"مجموعة الطرق و الأساليب التي تستخدم في تعميم نتائج العينة على خصائص المجتمع الذي سحبت منه و قياس العلاقات بين الخصائص المختلفة للمجتمع والتنبؤ بالقيم المستقبلية لهذه الخصائص ,",S
",",
"الإحصاء الاستدلالي,",1
"الإحصاء الوصفي,",
"البيانات,",
"هي البيانات التي يمكن حصرها في عدة أوجة وصفية ولا يمكن إجرا ء عمليات رياضية حسابية عليها  كالجمع و الطرح,",S
",",
"البيانات الكمية المتصلة,",
"البيانات الكمية المنفصلة,",
"البيانات الوصفية,",1
"البيانات الوصفية هي البيانات التي يتم الحصول عليها في شكل أعداد و يمكن ترتيبها ,",S
",",
"صح,",
"خطأ,",1
",",
"تعتبر الأرقام الجامعية للطلاب بيانات وصفية ,",S
",",
"صح,",1
"خطأ,",
",",
"العينة هي المجموعة الكلية لمفردات الدراسة سوا كانت أفراد أو أشياء ,",S
",",
"صح,",
"خطأ,",1
",",
" كلما أرتفع مستوى قياس الخاصية كانت القدرة على إجرا العمليات الترتيبية و الحسابية عليها أكبر,",S
",",
"صح,",1
"خطأ,",
",",
":ماذا يحدث إذا كان مستوى النسبة مساوي للصفر  ,",S
",",
"انعدام الصفة,",1
"مدلول الصفة ,",
"لاشيء مما سبق,",
"يستخدم المستوى الاسمي والترتيبي لقياس,",S
",",
"الصفة,",
"البيانات النوعية ,",1
"البيانات الكمية ,",
"يستخدم مستوى الفترة ومستوى النسبة لقياس,",S
",",
"البيانات النوعية ,",
"مدلول الصفة ,",
"البيانات الكمية ,",1
"أنواع البدء في التحليل الاحصائي,",S
"اسمي,",
"كمي,",
"ترتيبي,",
"كل ما سبق,",1
"الى كم نوع خطأ ممكن ان تتعرض له البيانات عند جمعها,",S
",",
"ثلاثة أنواع ,",
"نوعان,",1
"نوع واحد,",
"(تعريف)هو الخطأ الذي يحدث عند جمع البيانات,",S
",",
"خطأ التحييز,",1
"خطأ المعاينة العشوائية,",
"لاشيء مما سبق,",
"(تعريف)هو الخطأ الذي يحدث عند اجراء الدراسة الإحصائية,",S
",",
"خطأ التحييز,",
"خطأ المعاينة العشوائية,",1
"لاشيء مما سبق,",
"ماهي طرق تنظيم وعرض البيانات,",S
",",
"التوزيعات التكرارية,",
"التمثيل البياني ,",
"كل ما سبق,",1
"ماذا نستفيد من تلخيص البيانات,",S
",",
"تنظيمها ,",
"معالجتها,",1
"عرضها,",
"عند استخدام أسلوب المعاينة فأننا في تعميم النتائج على باقي المجتمع"" مثال على"",",S
",",
"الإحصاء الوصفي ,",
"الإحصاء الحيوي ,",1
"الإحصاء  ,",
"جميع الخيارات من أنواع أساليب المسح بالعينة العشوائي ما عدا ,",S
",",
"البسيطة,",
"المنتظمة,",
"الزمنية,",1
"نحصل على البيانات من كل السجلات والتقارير وقواغد البيانات من أسلوب,",S
",",
"المسح,",1
"المسح الشامل,",
"المسح بالعينة العشوائية,",
"يتم جمع البيانات من كل مفردات المجتمع محل الدارسة,",S
",",
"المسح الشامل ,",1
"المسح بالعينة العشوائية,",
"المسح,",
"يتم اختيار عينة عشوائية بسيطة من الشيكات من كل فرع حسب حجم  ,",S
",",
"الوزن,",
"الشبكات,",
"العينة,",1
"عند تصميم الاستبيان لايجب مراعاة الشروط,",S
",",
"صح,",
"خطأ,",1
",",
"تعطي كل مفردة من مفردات المجتمع نفس الفرصة في الاختيار يعتبر من العينة العشوائية الطبقية  ,",S
",",
"صح,",
"خطأ,",1
",",
"لاختيار عينة عشوائية طبقية حجمها 10% من بين الشبكات المقدمة يتم تحديد حجم العينة الطبقية البسيطة الكلي ,",S
",",
"صح,",
"خطأ,",1
",",
"يتم تجميع البيانات من بعض مفردات المجتمع محل الدراسة بأسلوب المسح بالعينة العشوائية,",S
",",
"صح,",1
"خطأ,",
",",
"تجنب الأسئلة التي  تعتمد على على ذاكرة الفرد لفترة زمنية قصيرة من الشروط عند تصميم الاستبيان  ,",S
",",
"صح,",
"خطأ,",1
",",
"الاستبيان عبارة عن أسئلة موجهه لفئة معينة مختارة من الناس,",S
",",
"صح,",1
"خطأ,",
",",
"التمثيل البياني للبيانات الكمية المنفصلة,",S
"شكل الاعمدة,",1
"مدرج تكراري,",
"مضلع تكراري,",
"مضلع تكراري,",
"يتم تمثيل البياني للبيانات الكميه المتصله ب,",S
"المدرج التكراري,",
"المضلع التكراري,",
"المنحنى التكراري,",
"كل ما سبق,",1
"يعتبر شكل القطاعات الدائريه من افضل الاشكال البيانيه التي تستخدم في تمثيل البيانات النوعيه الاسميه,",S
",",
"صح,",1
"خطأ,",
",",
" من افضل الاشكال البيانيه التي تستخدم التي تستخدم في تمثيل البيانات لكمية المتصله,",S
"المدرج ,",
"المضلع ,",
"المنحنى التكراري,",
"كل ما سبق,",1
"التغيرات التي تتكرر بانتظام خلال فترة زمنية أقل من السنة، عادة في الموسم,",S
",",
"الاتجاه العام,",
"التغيرات الموسمية,",1
"التغيرات الدورية,",
"لايجاد النسبه يستخدم القانون التالي (الحد الادنى للفئه+الحد الأعلى للفئه)÷ 2 ,",S
",",
"صح,",
"خطأ,",1
",",
"التغيرات التي تحدث نتيجة حوادث فجائية غير متوقعة مثل الفيضانات والاعاصير والحروب,",S
",",
"التغيرات الموسمية,",
"التغيرات العرضيه,",1
"كل ما سبق,",
"القطاعات الدائريه تعتبر من افضل الاشكال البيانية التي تستخدم في تمثيل البيانات النوعية الاسمية,",S
",",
"صح,",1
"خطأ,",
",",
"شركة بها 2000 موظف جنسياتهم على النحو التالي يمني، فلسطيني، اردني عدد القطاعات في شكل القطاع الدائري,",S
",",
"5,",
"1,",
"3,",1
"البيانات الخام هي البيانات التي تم تلخيصها وتنظيمها في توزيعات تكرارية,",S
",",
"صح,",
"خطأ,",1
",",
"عند حصولنا على بيانات نطلق على هذه البيانات ب,",S
",",
"Raw Data,",
"بيانات خام ,",
"كل ما سبق,",1
"عند تلخيص البيانات وتنظيمها يطلق على هذه البيانات ب,",S
",",
"توزيعات تكرارية,",
"بينات مبوبة,",1
"بيانات خام ,",
"عدد الفئات،.... التكرار،.......حجم الفئة .... ، يرمز لهم بالترتيب,",S
",",
" c,f,n ,",1
" n,c,f ,",
"f,c,n ,",
"حجم التكرارات يساوي حجم العينه يساوي,",S
",",
"£=nf,",
"f=n£,",
"n=f£,",1
"عندما يكون لدينا فئه من20 إلى 30 فان القيمه,",S
",",
"20 حد ادنى لهذه الفئه,",1
"30 حد ادنى لهذه الفئه,",
"20 حد اعلى لهذه الفئه,",
"طول الفئه هو الفرق بين الحد األدنى والحد الأعلى لنفس الفئه,",S
",",
"صح,",1
"خطأ,",
",",
"يمكن حساب عدد الفئات محسوبة باستخدام الحزم اإلحصائية,",S
",",
"صح,",1
"خطأ,",
",",
"التوزيعات التكرارية هي عباره عن جداول لبعض الأوجه وليس لجميع الأوجه,",S
",",
"صح,",
"خطأ,",1
",",
"لا تختلف التوزيعات التكرارية حسب طبيعة البيانات,",S
",",
"صح,",
"خطأ,",1
",",
"...مركز الفئه يسمى ... ويساوي,",S
",",
"منتصف الفئه ، (الحد الأدنى + الحد الأعلى) ÷٢,",1
"منتصف الفئه, الحد الأدنى ÷ الحد الأعلى,",
"منتصف الفئه ، ٢×(الحد الأدنى + الحد الأعلى) ,",
"تغيرات تحدث عادة كل خمس او ثلاث سنوات ,",S
",",
"التغيرات الموسمية,",
"التغيرات الدورية,",1
"التغيرات العرضية,",
"يمكن وصف البيانات النوعية بإحدى التمثيلات البيانية الاتية,",S
",",
"المدرج التكراري,",
"السلاسل الزمنية,",
"القطاعات الدائرية,",1
"يعتبر شكل الأعمدة من افضل الاشكال البيانية التي تستخدم في تمثيل  ,",S
",",
"البيانات النوعية فقط,",
"كل من بيانات الكمية  المنفصلة والبيانات النوعية  ,",1
"بيانات السلاسل الزمنية,",
"يتم التمثيل التوزيع المجتمع الصاعد والنازل عن طريق,",S
",",
"Circles,",
"Pointers,",
"Frequency Ogives,",1
"دائما يكون للسلاسل الزمنية اتجاه عام,",S
",",
"صح,",
"خطأ,",1
",",
"شكل الاعمدة يستخدم لتمثيل البيانات النوعية فقط,",S
",",
"صح,",
"خطأ,",1
",",
"عند التمثيل في المدرج او المضلع او المنحنى التكراري,",S
",",
"نرسم محور واحد فقط يمثل التكرارات,",
"نرسم محور واحد فقط يمثل الفئات,",
"نرسم محور لتمثيل الفئات ومحور لتمثيل التكرارات,",1
"من أبرز الاشكال وتستخدم في كثير من المجالات الاقتصادية -خاصة- تبين لنا تطور الظواهر مع مرور الزمن,",S
",",
"شكل القطاعات الدائرية ,",
"شكل الاعمدة,",
"شكل السلاسل الزمنية,",1
"من الاتي من يعتبر من مكونات السلسة الزمنية,",S
",",
"المدرج التكراري,",
"الاتجاه العام,",1
"لا شيء مما سبق,",
"من مما يأتي لا يمثل شكل من اشكال تمثيل البيانات,",S
",",
"Bar Chart,",
"Time Series Plot,",
"Just a Normal  Rectangular,",1
"  {3,6,4,2,5} احسب المتوسط الحسابي للقيم التالية,",S
",",
"3,",
"4,",1
"5,",
"يمكن حساب البيانات النوعية بالمتوسط الحسابي فقط إذا تم تكميمها,",S
",",
"صح,",1
"خطأ,",
",",
"   أوجد الوسيط  {7,2,5,8,6,3,4,1}           ,",S
",",
"3.5,",
"4.5,",1
"5.5,",
"................. هو القيمة الأكثر تكراراً ,",S
",",
"الوسيط,",
"المتوسط,",
"المنوال,",1
"{4,6,4,5,6,1,2} نوع المنوال,",S
",",
"أحادي,",
"ثنائي,",1
"عديم,",
"احسب الوسيط {1,7,8,5,2,4,6},",S
",",
"4,",
"5,",1
"6,",
"هو مجموع حواصل ضرب قيم مفردات العينة في أوزان مخصصة مقسوما على مجموع هذه الأوزان,",S
",",
"المتوسط الحسابي,",
"الوسيط,",
"المتوسط المرجح,",1
"البيانات الكمية المتصلة مثل ,",S
",",
"عدد افراد الاسرة ,",
"عدد حوادث السيارات ,",
"درجات الحرارة,",1
"يقاس المستوى التعليمي بإستخدام المقياس ,",S
",",
"النسبي,",
"الفترة,",
"الترتيبي,",1
"أوجد المدى للبيانات التالية :\n2  ,  4   ,  6  , 1 ,3  ,",S
",",
"4,",
"5,",1
"2,",
"اذا كانت الأجور اليومية بالريال لعينة من عشرة عمال في احدى الشركات على النحو التالي \n75  ,  65,  67,  89,  80,  100,  60,  78,  90\n احسب المدى للأجور اليومية ,",S
",",
"40,",1
"60,",
"100,",
"المدى هو الفرق بين مركز الفئة الاخيــرة ومركـــز الفئة الأولى ,",S
",",
"صح,",1
"خطأ,",
",",
"احسب الانحراف المعياري للأجور اليومية بالدولار للعينة العشوائية التالية المكونة من ثلاثة عمال بإحدى القطاعات \n 90,      70,     50,",S
",",
"40,",
"20,",1
"60,",
" اذا كان عدد المترددين على العيادات النفسية بإحدى المستشفيات خلال ستة أيام هو \n (4 ,   6 ,   3,    8,   10,     12)  \n احسب الانحراف المعياري ,",S
",",
"308.17,",
"369,",
"3.49,",1
"التباين لبيانات المجتمع هو عبارى عن متوسط الجذر التربيعي لقيم عن وسطها الحسابي ,",S
",",
"صح,",
"خطأ,",1
",",
"اوجد الانحراف المعياري لعدد مرات التداول اليومي خلال أيام العمل الرسمية لاحد الحسابات البنكية \n (8,   0,    3,   7 ,    4) ,",S
",",
"41.2,",
"3.21,",1
"32.1,",
"اوجد التباين لعدد مرات تداول يومي  خلال أيام العمل الرسمية من احد الحسابات \n (4,    7     ,  8,    0   , 3) ,",S
",",
"10.3,",1
"1.03,",
"41.2,",
"يعتبر الوسيط أدق مقاييس النزعة المركزية وأكثرها ثباتاً,",S
",",
"صح,",
"خطأ,",1
",",
"يتأثر الوسط الحسابي بالقيم المتطرفة ,",S
",",
"صح,",1
"خطأ,",
",",
"لا يمكن إيجاده الوسيط بالرسم ,",S
",",
"صح,",
"خطأ,",1
",",
"يصعب حساب  الوسيط أدق في  الجداول المتكررة المفتوحة,",S
",",
"صح,",
"خطأ,",1
",",
"من عيوب المتوسط الحسابي أنه قد لا يساوي عدداً صحيحاً أو أيً من القيم الداخلة فيه,",S
",",
